0,1,1015,de
1,2424796,1015,fr
2,2,000004458X,de
3,2424797,000004458X,fr
4,3,1002198,de
5,2424798,1002198,fr
6,2424799,1002791,fr
7,4980661,1002791,it
8,4,1002864,de
9,2424800,1002864,fr
10,5,1003704,de
11,2424801,1003704,fr
12,6,1003763,de
13,2424802,1003763,fr
14,2424803,1004271,fr
15,4980662,1004271,it
16,7,000101742X,de
17,2424804,000101742X,fr
18,8,1017519,de
19,2424805,1017519,fr
20,9,000102163X,de
21,2424806,000102163X,fr
22,2424807,1022369,fr
23,4980663,1022369,it
24,2424808,1022857,fr
25,4980664,1022857,it
26,10,1032666,de
27,2424809,1032666,fr
28,11,1034677,de
29,2424810,1034677,fr
30,12,1034936,de
31,2424811,1034936,fr
32,13,1034944,de
33,2424812,1034944,fr
34,14,1035002,de
35,2424813,1035002,fr
36,15,1035029,de
37,2424814,1035029,fr
38,16,1035053,de
39,7536526,1035053,es
40,2424815,1035053,fr
41,17,1035339,de
42,2424816,1035339,fr
43,18,1036866,de
44,7536527,1036866,es
45,2424817,1036866,fr
46,19,1037137,de
47,2424818,1037137,fr
48,20,1037188,de
49,2424819,1037188,fr
50,21,1037994,de
51,2424820,1037994,fr
52,22,000103863X,de
53,2424821,000103863X,fr
54,23,1039466,de
55,2424822,1039466,fr
56,2424823,1040871,fr
57,4980665,1040871,it
58,24,1040979,de
59,2424824,1040979,fr
60,25,1040987,de
61,2424825,1040987,fr
62,26,1041002,de
63,2424826,1041002,fr
64,27,1041991,de
65,2424827,1041991,fr
66,28,000104317X,de
67,2424828,000104317X,fr
68,29,1043331,de
69,2424829,1043331,fr
70,30,000104348X,de
71,2424830,000104348X,fr
72,31,1043498,de
73,2424831,1043498,fr
74,32,1043773,de
75,2424832,1043773,fr
76,33,000104396X,de
77,2424833,000104396X,fr
78,34,1048325,de
79,2424834,1048325,fr
80,35,1049119,de
81,2424835,1049119,fr
82,36,1057774,de
83,2424836,1057774,fr
84,37,1057790,de
85,7536528,1057790,es
86,2424837,1057790,fr
87,38,1057812,de
88,7536529,1057812,es
89,2424838,1057812,fr
90,39,1057987,de
91,2424839,1057987,fr
92,40,1059238,de
93,2424840,1059238,fr
94,41,1060619,de
95,2424841,1060619,fr
96,42,1060694,de
97,7536530,1060694,es
98,2424842,1060694,fr
99,43,1061305,de
100,2424843,1061305,fr
